Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
AMSC,Financials,Debt,$820K,$1M,Israel
amSTATZ,Consumer Staples,Convertible Note,$493K,$8M,Australia
Amsterdam Castle NY,Consumer Staples,Convertible Note,$353K,$3M,Indonesia
QDEGA Loyalty Solutions GmbH,Materials,Equity,$3K,$8M,Denmark
AMT,Information Technology,Equity,$491K,$5M,United Kingdom
AMT (Aircraft Management Technologies),Consumer Descretionary,Convertible Note,$592K,$5M,Belgium
Amtec,Consumer Staples,Equity,$621K,$4M,New Zealand
Amteck,Consumer Staples,Convertible Note,$407K,$5M,Singapore
Amtek Global Technologies,Utilities,Convertible Note,$791K,$9M,Mexico
AMTT Digital Service Group,Utilities,Convertible Note,$225K,$8M,Mexico
Amulaire Thermal Technology,Information Technology,Equity,$693K,$3M,Mexico
Amulet Pharmaceuticals,Healthcare,STO,$666K,$6M,South Africa
Amulyte,Information Technology,Equity,$637K,$5M,India
Amura,Communication Services,Convertible Note,$41K,$10M,India
Amusing Quest,Energy,Debt,$617K,$7M,United States
Amuso,Healthcare,Debt,$735K,$5M,Spain
AmVac,Utilities,Debt,$291K,$8M,Thailand
Amvona,Utilities,Convertible Note,$821K,$7M,South Africa
AMVONET,Healthcare,Equity,$698K,$4M,Thailand
AMW Foundation,Real Estate,Debt,$174K,$10M,Sweden
AMW GmbH,Consumer Descretionary,STO,$315K,$6M,Belgium
Amware,Energy,Convertible Note,$575K,$3M,Israel
AmWINS Group,Information Technology,STO,$784K,$3M,Sweden
AMX,Financials,STO,$549K,$7M,United States
Amygdala Neuroscience,Information Technology,Convertible Note,$893K,$3M,Malaysia
Amylyx Pharmaceutical,Consumer Staples,Convertible Note,$820K,$4M,Australia
Amyris Biotechnologies,Consumer Descretionary,Debt,$854K,$1M,South Africa
An Estuary,Energy,Convertible Note,$100K,$1M,Israel
An Giang Plant Protection Joint Stock Company,Real Estate,Debt,$161K,$8M,Australia
AnaBios,Consumer Descretionary,Equity,$837K,$9M,Mexico
Anacail,Consumer Staples,Equity,$814K,$3M,Poland
AnaCatum,Consumer Descretionary,STO,$518K,$10M,United States
Anacle Systems,Consumer Descretionary,Convertible Note,$84K,$1M,Afghanistan
Anacomp,Materials,STO,$631K,$4M,Malaysia
Anaconda Pharma,Real Estate,Convertible Note,$282K,$6M,Indonesia
Anacor Pharmaceutical,Communication Services,Equity,$467K,$3M,Singapore
Anadigm,Communication Services,Debt,$262K,$3M,China
Anadys,Information Technology,STO,$414K,$9M,Denmark
Anaeco,Information Technology,Equity,$102K,$4M,Turkey
Anaergia,Industrial,STO,$917K,$1M,United States
AnAerobics,Consumer Staples,Equity,$985K,$6M,Australia
Anafocus,Consumer Staples,STO,$29K,$8M,Poland
Anafore,Information Technology,Equity,$830K,$9M,Sweden
Anagear,Materials,STO,$290K,$6M,Indonesia
Anagnostics,Healthcare,Convertible Note,$369K,$2M,Sweden
Anago,Information Technology,Debt,$17K,$2M,Afghanistan
Anagog,Real Estate,Convertible Note,$817K,$1M,Indonesia
Anagran,Healthcare,Convertible Note,$458K,$6M,Ireland
Anakage,Financials,Convertible Note,$619K,$9M,Sweden
Analiza,Communication Services,STO,$859K,$4M,United States
Analogix Semiconductor,Information Technology,Debt,$56K,$9M,Israel
Analogy Co.,Consumer Staples,Debt,$771K,$3M,China
Robinhood,Financials,Equity,$253K,$8M,Mexico
Analyte Health,Materials,Debt,$503K,$10M,Australia
Analyte Logic,Materials,Convertible Note,$510K,$1M,United States
Analytically Driven,Consumer Staples,Equity,$783K,$7M,Mexico
Analyticmate,Industrial,Convertible Note,$935K,$2M,China
AnalytiCon Discovery,Information Technology,Debt,$266K,$2M,Afghanistan
Analytics Engines,Information Technology,Equity,$920K,$8M,Afghanistan
Analytics For Life,Industrial,Debt,$360K,$2M,Malaysia
Analytics Quotient,Financials,Convertible Note,$606K,$7M,Malaysia
analyticsMD,Communication Services,Debt,$59K,$2M,Malaysia
Analyze,Real Estate,Debt,$208K,$2M,Denmark
Analyze Re,Energy,STO,$17K,$1M,Bangladesh
Anam Mobile,Industrial,Debt,$140K,$10M,France
Anametrix,Materials,Convertible Note,$864K,$2M,Canada
Ananas,Consumer Descretionary,Debt,$874K,$1M,Poland
Anapa Biotech,Materials,Debt,$401K,$8M,Iran
Anaphore,Consumer Staples,Convertible Note,$306K,$7M,Australia
Anaplan,Communication Services,STO,$629K,$2M,Bangladesh
Anapsis,Materials,Convertible Note,$289K,$10M,Turkey
AnaptysBio,Materials,STO,$312K,$10M,Thailand
Anaqua,Industrial,Equity,$657K,$1M,Mexico
Anatexis,Information Technology,Debt,$103K,$8M,Afghanistan
Anatole,Communication Services,STO,$304K,$2M,Denmark
Anatrope,Utilities,STO,$520K,$8M,Canada
Anavex,Industrial,Equity,$669K,$3M,Australia
Anbado Video,Real Estate,Equity,$50K,$3M,Malaysia
Ancanco,Financials,STO,$586K,$7M,Poland
AnCatt,Utilities,Equity,$938K,$4M,Denmark
Ancera,Financials,Equity,$897K,$6M,Poland
Ancestry,Healthcare,Convertible Note,$800K,$10M,Singapore
Anchanto,Financials,Equity,$544K,$6M,South Africa
Anchiva Systems,Communication Services,Debt,$252K,$8M,Indonesia
Anchor™,Financials,Debt,$813K,$7M,India
Anchor Bay Technologies,Information Technology,Equity,$639K,$10M,United Kingdom
Anchor Fabrication,Financials,Debt,$374K,$4M,United States
Anchor ID,Utilities,STO,$638K,$10M,Thailand
Anchor Semiconductor,Utilities,Convertible Note,$694K,$10M,Poland
Anchor Therapeutics,Industrial,Convertible Note,$825K,$2M,France
anchor.travel,Financials,Convertible Note,$511K,$8M,India
AnchorFree,Real Estate,Debt,$565K,$10M,China
Anchor Intelligence,Utilities,STO,$798K,$7M,Australia
Anchovi Labs,Materials,STO,$366K,$5M,Mexico
Ancoa Software,Industrial,Equity,$494K,$5M,Bangladesh
Ancora Pharmaceuticals,Communication Services,Equity,$626K,$3M,United States
Anctu,Utilities,Equity,$525K,$10M,Singapore
Anda,Information Technology,Debt,$904K,$2M,Indonesia
ANDA Networks,Consumer Descretionary,STO,$632K,$5M,India
ANDalyze,Energy,Equity,$690K,$3M,Iran
Andaman7,Consumer Descretionary,Debt,$831K,$5M,Afghanistan
AnDAPT,Information Technology,Equity,$641K,$4M,Denmark
ANDbio,Information Technology,Convertible Note,$55K,$8M,India
Andean Designs,Real Estate,Convertible Note,$274K,$7M,Canada
Andegavia Cask Wines,Communication Services,Convertible Note,$318K,$5M,Turkey
Andel,Healthcare,STO,$160K,$8M,United States
Andela,Information Technology,STO,$922K,$4M,Canada
Andera,Healthcare,Equity,$646K,$8M,United States
Anderson Aerospace,Healthcare,Equity,$811K,$1M,Canada
AndersonBrecon,Materials,Equity,$400K,$9M,Malaysia
AndesFactory,Financials,Debt,$887K,$5M,Malaysia
ANDevices,Utilities,Equity,$298K,$10M,Turkey
Andiamo Systems,Real Estate,Debt,$594K,$6M,Afghanistan
ANDIAST,Energy,STO,$345K,$3M,South Africa
Andigilog,Communication Services,Convertible Note,$718K,$8M,Singapore
Andoayudando.com,Utilities,Debt,$8K,$3M,Sweden
Andover College Prep,Consumer Staples,Convertible Note,$812K,$2M,Poland
Andover Education,Communication Services,Equity,$846K,$1M,South Africa
Andre Phillipe,Industrial,Debt,$446K,$9M,Thailand
Andrew Alliance,Materials,Debt,$483K,$9M,Israel
Andrew Michaels Ltd,Consumer Descretionary,Equity,$852K,$2M,Turkey
Andrew Technologies,Materials,Equity,$256K,$2M,New Zealand
Andrews Consulting Group,Industrial,Debt,$973K,$3M,India
Andrews Education,Healthcare,Equity,$246K,$5M,Ireland
Andro Diagnostics,Consumer Staples,Debt,$784K,$1M,Turkey
AndroBioSys,Materials,Debt,$354K,$6M,Singapore
Androcial,Healthcare,Debt,$234K,$1M,Australia
Android App Review Source,Materials,Equity,$234K,$7M,China
AndroJek,Energy,Equity,$331K,$5M,Belgium
Andromeda Web Development,Consumer Staples,STO,$233K,$4M,United States
Andromedia,Consumer Staples,Convertible Note,$205K,$2M,South Africa
Andtix,Financials,Convertible Note,$208K,$7M,India
"Andy OS, inc.",Materials,Equity,$830K,$1M,South Africa
Anedot,Energy,Convertible Note,$255K,$5M,Indonesia
Anelletti Sicilian Street Food Restaurants,Materials,Equity,$59K,$8M,Canada
Anemoi Renovables,Industrial,Equity,$199K,$1M,South Africa
Anergis,Real Estate,Debt,$587K,$8M,Mexico
Anesco,Healthcare,Debt,$165K,$5M,Bangladesh
Anesiva,Industrial,Convertible Note,$151K,$10M,Iran
Anesthesia Medical Group,Information Technology,STO,$32K,$5M,South Africa
Anesthetix Holdings,Energy,Debt,$376K,$9M,Israel
Aneumed,Energy,Equity,$425K,$3M,France
Anevia,Real Estate,STO,$565K,$6M,India
Anew Oncology,Real Estate,Convertible Note,$961K,$5M,Afghanistan
"Anews, Inc.",Utilities,Debt,$721K,$2M,India
"Anews, Inc.",Utilities,STO,$40K,$8M,Iran
Anexon,Information Technology,STO,$111K,$1M,New Zealand
ANF Technology,Communication Services,Equity,$98K,$9M,United Kingdom
Anfiro,Materials,STO,$680K,$6M,Belgium
anfix,Industrial,Convertible Note,$344K,$3M,Bangladesh
Angani,Industrial,Convertible Note,$53K,$6M,United Kingdom
Angaza,Consumer Staples,Equity,$617K,$6M,Spain
Angee,Information Technology,Equity,$628K,$3M,Malaysia
Angel Alerts,Real Estate,Debt,$732K,$7M,New Zealand
Angel Baby,Communication Services,Equity,$533K,$9M,Israel
Angel Capital Entrepreneurial Fund,Information Technology,Equity,$988K,$8M,United States
Angel Club 天使客,Energy,STO,$941K,$9M,Australia
Angel Eye Camera Systems,Financials,Convertible Note,$283K,$1M,Ireland
Angel Group Holding Company,Materials,Debt,$130K,$7M,South Africa
Angel Medical Group,Healthcare,Debt,$475K,$6M,Spain
Angel Medical Systems,Energy,Debt,$859K,$5M,China
Angelantoni,Utilities,Convertible Note,$331K,$9M,Afghanistan
AngelBerry,Consumer Descretionary,Debt,$483K,$10M,Belgium
AngelCrunch,Real Estate,Equity,$516K,$10M,United States
Angelfish,Materials,Debt,$634K,$10M,Spain
Angella Joy,Real Estate,Equity,$623K,$9M,Singapore
AngelList,Information Technology,Debt,$56K,$9M,Malaysia
angelMD,Information Technology,Convertible Note,$674K,$6M,China
AngelPad,Consumer Descretionary,Equity,$293K,$1M,Denmark
Angelpc Global Support,Utilities,Equity,$620K,$9M,United States
Prime Venture Partners,Materials,Debt,$126K,$5M,Spain
Angels Den,Information Technology,Equity,$558K,$8M,Turkey
AngelVest,Utilities,STO,$262K,$9M,Belgium
Anghami,Consumer Staples,Debt,$65K,$2M,Australia
Angie's List,Energy,STO,$884K,$8M,France
AngioChem,Financials,STO,$254K,$7M,India
Angiocrine Bioscience,Financials,STO,$166K,$1M,Belgium
Angiodroid,Financials,STO,$507K,$2M,Afghanistan
AngioGenex,Communication Services,Convertible Note,$421K,$7M,Canada
Angiolink Corporation,Energy,Convertible Note,$133K,$9M,France
Angiologix,Industrial,Convertible Note,$299K,$4M,South Africa
Angion Biomedica,Consumer Descretionary,STO,$147K,$5M,Afghanistan
AngioScore,Utilities,Convertible Note,$235K,$6M,South Africa
AngioSlide,Industrial,STO,$41K,$10M,United States
Angkor Residences,Communication Services,Debt,$595K,$6M,Canada
ANGL,Communication Services,Debt,$190K,$9M,Australia
Angle,Consumer Descretionary,Convertible Note,$854K,$9M,United Kingdom
ANGLE plc,Financials,Equity,$758K,$8M,Australia
Angles Media Corp.,Real Estate,STO,$808K,$6M,Canada
AngleWare,Healthcare,STO,$163K,$6M,China
Anglo Andino Group,Consumer Staples,STO,$806K,$8M,Mexico
Anglo European Group,Energy,Convertible Note,$43K,$6M,Bangladesh
Angmi,Consumer Staples,Equity,$857K,$3M,Denmark
Angoss Software,Financials,Equity,$462K,$7M,United Kingdom
Angstro,Communication Services,Debt,$166K,$6M,Afghanistan
Angstron Materials Inc,Financials,Equity,$765K,$5M,Malaysia
Angry Citizen,Industrial,Debt,$97K,$3M,Denmark
Anhelo,Consumer Descretionary,Debt,$798K,$2M,China
Anhui Anke Biotechnology (Group),Materials,Debt,$832K,$8M,Iran
Anhui Jiufang Pharmaceutical,Communication Services,Equity,$202K,$2M,Iran
USTC iFLYTEK Science and Technology,Healthcare,Equity,$196K,$3M,Mexico
Ola,Utilities,Equity,$148K,$5M,Belgium
Aniboom,Information Technology,Equity,$549K,$7M,Spain
Aniika,Materials,Debt,$633K,$7M,Bangladesh
Animail,Consumer Descretionary,STO,$270K,$7M,Sweden
Animal Cell Therapies,Information Technology,STO,$57K,$1M,Thailand
Animal Innovations,Real Estate,Convertible Note,$648K,$4M,Belgium
Animal Kingdom,Communication Services,STO,$489K,$4M,Iran
Animalbox,Utilities,Equity,$639K,$7M,Australia
Animalvitae,Energy,Equity,$332K,$5M,Denmark
Animated Dynamics,Consumer Staples,Equity,$605K,$7M,Ireland
Animated Speech,Consumer Staples,STO,$705K,$7M,Turkey
Animating Touch,Communication Services,Equity,$30K,$10M,China
Animatu Multimedia,Industrial,Equity,$164K,$1M,Singapore
AniMeals,Consumer Descretionary,Equity,$126K,$10M,Singapore
Animeeple,Consumer Staples,STO,$332K,$9M,France
Animoca,Communication Services,Equity,$66K,$5M,Ireland
Animoca Brands Corporation,Utilities,Convertible Note,$215K,$9M,Bangladesh
Animoto,Materials,Debt,$611K,$3M,Spain
Anipipo,Healthcare,Convertible Note,$52K,$8M,Malaysia
Anita Margarita,Real Estate,Convertible Note,$103K,$10M,United Kingdom
ANIVO,Consumer Descretionary,Equity,$800K,$9M,Israel
Aniways,Consumer Staples,Debt,$985K,$3M,Ireland
Aniwo,Information Technology,Equity,$639K,$2M,New Zealand
Anjuke,Real Estate,Equity,$319K,$3M,Israel
Ankasa Regenerative Therapeutics,Communication Services,STO,$960K,$3M,Thailand
Ankh Genetics,Healthcare,Equity,$252K,$4M,China
Anki,Information Technology,Debt,$280K,$4M,France
Ankota,Healthcare,STO,$984K,$2M,Afghanistan
Ann Arbor SPARK,Information Technology,STO,$795K,$8M,Israel
Anna Lozabai,Communication Services,Convertible Note,$840K,$4M,Malaysia
Anna-Rita Sloss Enterprises,Utilities,Convertible Note,$720K,$5M,Turkey
Annai Systems,Materials,Convertible Note,$467K,$1M,Spain
Annapurna Microfinace,Healthcare,Convertible Note,$5K,$10M,Bangladesh
Anne Fogarty,Healthcare,Convertible Note,$226K,$5M,Iran
Annelutfen.com,Information Technology,Equity,$819K,$7M,Indonesia
Annex Products,Healthcare,Convertible Note,$455K,$7M,Australia
Annexon,Energy,Debt,$311K,$9M,Belgium
Annhagen,Industrial,Convertible Note,$249K,$10M,Denmark
Annidis Health Systems,Consumer Descretionary,Debt,$222K,$4M,France
Gateway Media,Consumer Staples,STO,$933K,$6M,United States
Annovation BioPharma,Consumer Staples,Equity,$44K,$5M,New Zealand
Anobit Technologies,Energy,Convertible Note,$272K,$1M,India
Anodot,Energy,Convertible Note,$673K,$2M,Australia
Anodyne Health,Industrial,Debt,$966K,$10M,Spain
Anokion SA,Communication Services,Debt,$13K,$5M,Israel
Anokiwave,Consumer Descretionary,Debt,$276K,$3M,South Africa
Anomalous Networks,Energy,Convertible Note,$915K,$10M,Indonesia
Anomaly Innovations,Information Technology,STO,$971K,$6M,Poland
Anomaly Insurance,Materials,STO,$358K,$5M,France
Anomo,Consumer Descretionary,Convertible Note,$729K,$4M,Thailand
AnonaBox,Real Estate,Debt,$151K,$4M,New Zealand
"Anonygo, Inc.",Consumer Descretionary,Convertible Note,$267K,$5M,Canada
AnonymAsk,Information Technology,Convertible Note,$342K,$10M,India
Anonymess,Materials,Debt,$884K,$7M,India
Anonymous You,Information Technology,Convertible Note,$140K,$2M,United States
Anova Culinary,Real Estate,STO,$153K,$4M,Ireland
AnovaStorm,Communication Services,Equity,$182K,$6M,Malaysia
Anpac,Materials,STO,$322K,$3M,Ireland
ANPI,Healthcare,Equity,$143K,$3M,Australia
Anpro21,Consumer Staples,Convertible Note,$158K,$9M,Sweden
Ansata Therapeutics,Utilities,Convertible Note,$150K,$5M,New Zealand
Anser Innovation,Consumer Descretionary,Convertible Note,$543K,$2M,Poland
AnShuo Information Technology,Real Estate,Debt,$141K,$3M,Ireland
Ansible,Consumer Descretionary,Debt,$442K,$5M,Australia
Ansible SCS,Communication Services,STO,$928K,$10M,Malaysia
AnSing Technology,Consumer Descretionary,Convertible Note,$261K,$9M,Singapore
Ansira,Healthcare,STO,$141K,$3M,Ireland
Ansrsource,Energy,Debt,$959K,$5M,United States
ANSWEAR.com,Financials,Debt,$257K,$9M,Indonesia
Answer.To,Healthcare,STO,$552K,$3M,Bangladesh
PushMarket,Consumer Staples,Convertible Note,$11K,$9M,Indonesia
AnswerDash,Real Estate,Convertible Note,$416K,$8M,Indonesia
AnswerGo.com,Healthcare,Convertible Note,$86K,$4M,Afghanistan
InboxQ,Materials,Debt,$143K,$7M,Spain
Answerology,Healthcare,Convertible Note,$698K,$1M,Poland
Answers Corporation,Materials,Convertible Note,$818K,$9M,Sweden
AnSyn,Communication Services,Convertible Note,$504K,$4M,New Zealand
ANT Farm,Healthcare,STO,$471K,$5M,Poland
Anta Systems,Materials,STO,$371K,$1M,Canada
Antaco,Consumer Staples,Debt,$784K,$6M,Indonesia
Antares Energy,Energy,STO,$557K,$7M,Canada
Antares Vision,Consumer Descretionary,Debt,$594K,$5M,South Africa
Antarex Group,Utilities,STO,$672K,$5M,Iran
Antavo,Energy,Equity,$770K,$2M,Ireland
AntCor,Energy,Convertible Note,$703K,$1M,Denmark
Ante Up,Communication Services,STO,$69K,$8M,Ireland
Dashbell,Information Technology,Debt,$148K,$5M,Indonesia
BookingNest,Consumer Staples,Convertible Note,$354K,$4M,Belgium
BookingPal,Materials,Debt,$527K,$4M,South Africa
BookingSync,Utilities,Debt,$154K,$8M,Turkey
Bookioo,Energy,Equity,$223K,$3M,Indonesia
Bookit.com,Financials,Equity,$569K,$4M,Bangladesh
BookitLyst,Energy,STO,$131K,$9M,Denmark
BookitNow!,Communication Services,Equity,$245K,$1M,Malaysia
bookjam,Financials,Convertible Note,$359K,$8M,Bangladesh
BookKeeping Express,Information Technology,Equity,$32K,$4M,Afghanistan
Bookkeepity,Communication Services,Convertible Note,$222K,$4M,France
bookletmobile,Healthcare,Convertible Note,$244K,$1M,Poland
BookLikes,Healthcare,Equity,$840K,$3M,New Zealand
Booklr,Industrial,Convertible Note,$294K,$3M,Poland
Bookmate,Utilities,STO,$548K,$10M,India
Bookme.pk,Materials,Convertible Note,$185K,$3M,South Africa
BookMEDS,Industrial,Equity,$219K,$6M,Australia
BookMeIn,Healthcare,Equity,$328K,$1M,China
BookMyBai.com,Information Technology,STO,$416K,$6M,Indonesia
Bookmycab,Industrial,Equity,$744K,$5M,China
BookMyForex.com,Financials,Equity,$866K,$6M,Canada
BookMyShow,Consumer Descretionary,Convertible Note,$376K,$3M,Singapore
Bookmytrainings PVT Ltd,Consumer Descretionary,Debt,$115K,$1M,Singapore
Book'n'Bloom,Industrial,Convertible Note,$371K,$2M,South Africa
BooknGo,Materials,Convertible Note,$504K,$10M,Ireland
BookNow,Communication Services,Convertible Note,$103K,$6M,Mexico
Bookpad,Communication Services,Debt,$79K,$5M,Thailand
BookShout,Materials,Debt,$101K,$4M,Thailand
Booksmart Touring,Utilities,Equity,$839K,$9M,Canada
Booksy,Materials,STO,$668K,$8M,India
BookThatDoc,Real Estate,Debt,$394K,$7M,Mexico
BookTour,Information Technology,Equity,$491K,$4M,China
Booktrack,Communication Services,Equity,$716K,$7M,France
Booktrope,Utilities,Convertible Note,$438K,$10M,China
Bookya.de,Real Estate,STO,$24K,$9M,India
Boolino,Utilities,Debt,$93K,$8M,United States
BOOM! Entertainment,Communication Services,Convertible Note,$639K,$1M,Denmark
Boom.fm,Real Estate,Convertible Note,$215K,$5M,Australia
Boom Shakalaka,Communication Services,Equity,$108K,$4M,Thailand
Boomalang,Real Estate,Convertible Note,$505K,$2M,United States
boomApp,Healthcare,Debt,$915K,$5M,South Africa
BoomBang,Utilities,Convertible Note,$490K,$8M,United States
bOombate,Communication Services,Equity,$160K,$6M,Denmark
Boombocx Productions,Energy,Debt,$668K,$7M,Belgium
BoomBoom Prints,Financials,Convertible Note,$602K,$8M,Spain
Boombotix,Utilities,Equity,$716K,$2M,Sweden
Boombox,Financials,STO,$372K,$3M,Thailand
BoomboxFM,Healthcare,Debt,$498K,$4M,Indonesia
Boomdizzle Networks,Consumer Descretionary,STO,$331K,$9M,Malaysia
Boomerang,Consumer Staples,Equity,$629K,$4M,Turkey
Boomerang Commerce,Real Estate,STO,$284K,$2M,New Zealand
"Boomerang Financial, inc.",Healthcare,STO,$465K,$2M,United States
Boomerang Pies,Energy,STO,$6K,$7M,Spain
